Latitudine,Longitudine,eNb,Settori,,,CellID
46.527188,12.142686,39494,12,,,10110476
46.535835,12.134576,39494,13,,,10110477
46.535728,12.13513,39494,31,,,10110495
46.530634,12.140416,39494,32,,,10110496
46.533392,12.136773,39494,33,,,10110497
46.534417,12.138916,39494,41,,,10110505
46.528931,12.14065,39494,42,,,10110506
46.532078,12.136359,39494,43,,,10110507
46.529678,12.140747,39494,52,,,10110516
46.534366,12.134952,39494,53,,,10110517
46.546555,12.138046,39491,11,,,10109707
46.541507,12.142817,39491,12,,,10109708
46.534207,12.126916,39491,13,,,10109709
46.546506,12.130147,39491,31,,,10109727
46.54321,12.135879,39491,32,,,10109728
46.538172,12.128313,39491,33,,,10109729
46.541049,12.135644,39491,41,,,10109737
46.539287,12.137825,39491,42,,,10109738
46.536374,12.125386,39491,43,,,10109739
46.547654,12.130488,39491,51,,,10109747
46.541392,12.134998,39491,52,,,10109748
46.53574,12.129108,39491,53,,,10109749
45.452923,12.222912,39243,11,,,10046219
45.447891,12.205553,39243,12,,,10046220
45.459418,12.207973,39243,13,,,10046221
45.4543,12.217782,39243,31,,,10046239
45.450233,12.206808,39243,32,,,10046240
45.45983,12.209227,39243,33,,,10046241
45.455789,12.212816,39243,41,,,10046249
45.449306,12.204282,39243,42,,,10046250
45.470109,12.21438,39243,43,,,10046251
45.453776,12.205711,39243,51,,,10046259
45.462227,12.207707,39243,53,,,10046261
45.57188,12.458781,35170,31,,,9003551
45.553777,12.424886,35170,32,,,9003552
45.564187,12.419657,35170,33,,,9003553
45.568922,12.468998,35170,41,,,9003561
45.54842,12.42029,35170,42,,,9003562
45.579408,12.425517,35170,43,,,9003563
45.651987,12.317501,1004930,21,,,257262101
45.635116,12.311919,1004930,22,,,257262102
45.6466,12.311333,1004930,23,,,257262103
45.651398,12.315281,1004930,61,,,257262141
45.641568,12.312562,1004930,62,,,257262142
45.648181,12.307036,1004930,63,,,257262143
45.651301,12.32054,1004930,81,,,257262161
45.638633,12.316509,1004930,82,,,257262162
45.648706,12.307539,1004930,83,,,257262163
